locality,apartment_type,bhk,floor,rent
Puthiyara,Villa,2,,27000
Nadakkavu,Flat,3,2.0,29000
Mankave,Villa,2,,23000
Kuthiravattom,Apartment,1,0.0,7500
Feroke,Villa,2,,20000
Palayam,Apartment,2,2.0,19500
Ulliyeri,Apartment,1,13.0,6500
Thondayad,Flat,3,1.0,26500
Kuthiravattom,Apartment,3,7.0,26500
Mukkam,Flat,2,0.0,10500
Nadakkavu,Apartment,3,8.0,30500
Chevayur,Flat,2,8.0,18500
Palayam,Flat,2,2.0,18000
Vellimadukunnu,House,3,,30000
Mavoor Road,Villa,2,,30000
Medical College,Apartment,3,2.0,37000
Nadakkavu,Flat,3,1.0,29500
Calicut University,Apartment,2,13.0,21000
Balussery,Flat,3,7.0,18000
Panniyankara,Apartment,3,2.0,25000
Malaparamba,Apartment,2,5.0,17500
Nadakkavu,Apartment,2,6.0,21000
Mathara,Flat,3,1.0,24000
Panniyankara,Apartment,1,10.0,8500
Mukkam,Flat,2,6.0,12500
Mathara,Flat,2,1.0,13500
Koyilandy Road,Flat,1,4.0,9000
Puthiyara,Apartment,3,2.0,34000
Eranhipalam,Flat,1,3.0,9500
Puthiyara,Flat,1,1.0,10000
Kottuli,Flat,1,8.0,7500
Kottuli,Villa,1,,12000
Kuthiravattom,Apartment,2,11.0,16000
Feroke,Apartment,4,14.0,30500
Balussery,Villa,3,,31500
Kuthiravattom,Villa,4,,55000
Kottuli,Apartment,3,9.0,23500
Mukkam,Villa,2,,17500
Kottuli,Apartment,1,10.0,8000
Mankave,Apartment,3,9.0,27000
Vellimadukunnu,Apartment,1,1.0,8500
Panniyankara,Flat,2,7.0,13500
Kottuli,Flat,3,1.0,20000
Ulliyeri,Apartment,1,1.0,7000
Panniyankara,Apartment,1,0.0,7500
Kottuli,Apartment,2,8.0,14500
Puthiyara,Apartment,3,2.0,31500
Nadakkavu,Apartment,2,8.0,18500
Kunnamangalam,Apartment,2,7.0,10500
Thiruvannur,Apartment,3,5.0,22000
Balussery,House,3,,25000
Calicut University,Flat,3,4.0,36000
Medical College,Apartment,1,0.0,12500
Mathara,House,1,,10500
Mukkam,Apartment,2,2.0,13500
Vellimadukunnu,Flat,3,7.0,22500
Calicut University,Apartment,2,8.0,21000
Bilathikulam,House,3,,37500
Vellimadukunnu,Flat,3,1.0,22000
Chevayur,Flat,3,5.0,32500
Calicut University,Villa,1,,17500
Koyilandy Road,Apartment,3,1.0,27500
Feroke,Flat,3,7.0,19500
Palayam,Apartment,2,4.0,21500
Kuthiravattom,Villa,1,,13000
Panniyankara,Villa,1,,11500
Mukkam,Villa,3,,31500
Calicut University,Apartment,1,8.0,12000
Puthiyara,Villa,1,,14500
Nadakkavu,Villa,2,,28000
Bilathikulam,House,1,,12000
Medical College,Flat,1,0.0,11000
Nadakkavu,Villa,1,,17000
Mankave,Flat,2,6.0,14500
Koyilandy Road,Apartment,2,1.0,16000
Feroke,Villa,1,,11000
Mankave,Flat,3,3.0,25000
Palayam,Apartment,4,12.0,51000
Chevayur,Flat,4,4.0,48000
Puthiyara,Flat,3,2.0,27000
Malaparamba,Flat,3,7.0,23500
Bilathikulam,Flat,3,1.0,29500
Mathara,House,3,,28500
Panniyankara,Flat,1,3.0,7500
Puthiyara,Flat,1,4.0,10000
Bilathikulam,Flat,1,1.0,9500
Kottuli,Flat,3,7.0,22000
Kottuli,House,1,,8500
Kuthiravattom,Apartment,1,7.0,7500
Nadakkavu,Villa,2,,27000
Kuthiravattom,House,2,,17000
Malaparamba,Flat,1,7.0,8500
Kuthiravattom,Flat,2,8.0,14500
Mukkam,Flat,2,6.0,13000
Kuthiravattom,Flat,3,2.0,21500
Eranhipalam,Apartment,1,6.0,10500
Koyilandy Road,House,1,,10000
Bilathikulam,Flat,2,1.0,16000
Mathara,House,4,,44500
Chevayur,Apartment,1,14.0,10000
Mathara,Flat,3,3.0,24500
Mankave,Flat,2,2.0,15000
Bilathikulam,Flat,2,1.0,18000
Koyilandy Road,Villa,2,,23000
Vellimadukunnu,Apartment,3,9.0,24500
Kunnamangalam,Apartment,2,1.0,10500
Thiruvannur,Apartment,2,12.0,11500
Kottuli,Apartment,2,0.0,13500
Mukkam,Apartment,3,0.0,21500
Beach Road,Apartment,1,9.0,11500
Nadakkavu,Flat,2,8.0,17500
Chevayur,Apartment,3,5.0,31500
Beach Road,Flat,2,0.0,21500
Kuthiravattom,Apartment,1,1.0,9000
Beach Road,Apartment,3,6.0,38000
Chevayur,Flat,2,3.0,19500
Balussery,Apartment,1,12.0,7500
Malaparamba,Flat,2,6.0,14500
Nadakkavu,Flat,1,1.0,9500
Kuthiravattom,Apartment,3,1.0,26000
Balussery,Flat,2,0.0,11500
Feroke,House,1,,9000
Koyilandy Road,Villa,3,,40500
Malaparamba,Apartment,4,8.0,42000
Thiruvannur,Flat,3,8.0,16500
Kuthiravattom,Flat,2,5.0,15500
Kunnamangalam,Villa,2,,15500
Kottuli,Flat,2,6.0,13500
Bilathikulam,Apartment,2,0.0,17500
Medical College,Flat,2,1.0,20500
Nadakkavu,Villa,4,,73500
Kottuli,Apartment,2,4.0,14000
Panniyankara,Flat,3,4.0,22500
Medical College,House,1,,14500
Puthiyara,Apartment,3,1.0,30000
Mathara,Apartment,2,14.0,15500
Mankave,Apartment,3,12.0,26000
Medical College,Villa,1,,18500
Palayam,Apartment,2,3.0,20000
Mavoor Road,Apartment,2,9.0,20500
Mavoor Road,Villa,3,,51500
Nadakkavu,Apartment,1,9.0,11500
Nadakkavu,Apartment,2,7.0,20500
Nadakkavu,Flat,3,0.0,28000
Palayam,Villa,3,,46500
Calicut University,Apartment,2,6.0,22500
Eranhipalam,Apartment,2,8.0,19500
Beach Road,Apartment,2,12.0,23500
Panniyankara,Villa,2,,22000
Bilathikulam,Apartment,1,0.0,10000
Palayam,Apartment,1,3.0,11000
Mathara,Flat,1,7.0,8500
Kuthiravattom,Flat,1,5.0,8500
Mukkam,House,2,,15000
Eranhipalam,House,2,,20000
Kottuli,Apartment,1,13.0,7500
Thondayad,House,2,,20000
Puthiyara,Apartment,4,3.0,49000
Kottuli,Apartment,2,5.0,13500
Thondayad,Flat,2,3.0,16500
Beach Road,Apartment,1,8.0,11500
Feroke,Villa,2,,19500
Mukkam,Villa,2,,19000
Thiruvannur,Flat,2,0.0,10000
Koyilandy Road,Flat,2,5.0,14500
Eranhipalam,Apartment,1,1.0,9500
Eranhipalam,Flat,4,8.0,40000
Thondayad,Flat,3,5.0,28500
Chevayur,Apartment,2,4.0,19000
Mankave,House,1,,10500
Koduvally,Flat,2,1.0,11000
Thiruvannur,Flat,1,6.0,6000
Medical College,Apartment,1,13.0,13000
Calicut University,Apartment,2,8.0,20000
Mavoor Road,Apartment,2,15.0,20500
Panniyankara,Apartment,1,11.0,8000
Kuthiravattom,Apartment,2,3.0,15000
Koyilandy Road,Apartment,2,13.0,15500
Bilathikulam,Apartment,1,10.0,10000
Mathara,Apartment,3,6.0,27500
Nadakkavu,House,1,,13000
Koduvally,Apartment,2,10.0,12000
Panniyankara,Apartment,1,1.0,8000
Vellimadukunnu,Flat,3,5.0,22500
Feroke,Flat,4,8.0,32000
Thondayad,Apartment,3,11.0,29000
Panniyankara,Villa,2,,22000
Panniyankara,Apartment,2,15.0,16000
Bilathikulam,Flat,1,0.0,8500
Calicut University,Flat,1,7.0,10500
Chevayur,House,4,,56500
Nadakkavu,Flat,1,7.0,9500
Calicut University,Villa,2,,33000
Palayam,Apartment,2,0.0,18500
Palayam,Flat,2,1.0,18000
Medical College,Flat,4,4.0,54000
Malaparamba,Apartment,1,7.0,9000
Calicut University,Apartment,2,8.0,20000
Puthiyara,Apartment,1,13.0,9500
Mukkam,Villa,3,,33500
Mukkam,Apartment,2,13.0,13500
Panniyankara,Apartment,1,15.0,8000
Ulliyeri,Flat,2,1.0,10000
Malaparamba,Flat,1,7.0,8000
Bilathikulam,Flat,2,5.0,18000
Panniyankara,Villa,2,,21500
Nadakkavu,Apartment,1,4.0,12000
Chevayur,Villa,2,,27000
Panniyankara,Flat,2,8.0,13500
Mavoor Road,Villa,3,,49500
Mathara,Apartment,2,2.0,16500
Koyilandy Road,Apartment,4,12.0,39500
Kuthiravattom,Apartment,2,4.0,14500
Nadakkavu,Apartment,2,8.0,19000
Puthiyara,Flat,2,4.0,18500
Mankave,Flat,1,1.0,8500
Medical College,Apartment,2,5.0,23500
Kuthiravattom,Villa,1,,12500
Eranhipalam,Apartment,2,1.0,18000
Calicut University,House,3,,44000
Thondayad,Flat,2,5.0,17500
Panniyankara,Flat,2,8.0,13500
Balussery,Apartment,1,13.0,7000
Koyilandy Road,Apartment,3,13.0,25500
Bilathikulam,Apartment,2,15.0,18500
Calicut University,Villa,1,,18500
Mankave,Apartment,3,11.0,24500
Puthiyara,House,2,,20500
Mavoor Road,Apartment,1,6.0,13500
Eranhipalam,Villa,2,,25500
Puthiyara,Apartment,1,9.0,10500
Nadakkavu,Apartment,2,14.0,18500
Mankave,Villa,1,,12500
Vellimadukunnu,Flat,2,4.0,13500
Mathara,Flat,2,8.0,15000
Thiruvannur,Apartment,1,3.0,6500
Mavoor Road,Flat,2,1.0,20500
Panniyankara,Flat,3,5.0,22500
Mathara,Flat,1,8.0,8000
Koyilandy Road,Flat,2,7.0,15500
Medical College,Apartment,2,14.0,21500
Bilathikulam,Apartment,1,13.0,10500
Calicut University,Villa,3,,55000
Palayam,Flat,2,0.0,16500
Mavoor Road,Apartment,2,9.0,22000
Calicut University,Apartment,2,10.0,22500
Koduvally,Apartment,2,11.0,12500
Palayam,Villa,2,,29500
Puthiyara,Apartment,2,15.0,20000
Mukkam,Flat,1,0.0,6000
Puthiyara,Apartment,3,13.0,31500
Calicut University,Flat,1,6.0,12000
Bilathikulam,Flat,2,3.0,18500
Balussery,Apartment,1,8.0,6500
Calicut University,Apartment,3,4.0,40000
Palayam,Flat,3,2.0,32000
Mukkam,Flat,3,4.0,20000
Mathara,Apartment,1,0.0,8000
Beach Road,Apartment,3,10.0,38500
Kuthiravattom,Villa,3,,39000
Palayam,Flat,1,1.0,10000
Medical College,Villa,1,,17000
Panniyankara,Apartment,1,9.0,8000
Bilathikulam,Apartment,1,13.0,10500
Feroke,Flat,3,1.0,21500
Balussery,Apartment,2,7.0,12500
Bilathikulam,Apartment,2,13.0,19500
Thondayad,Flat,1,5.0,8500
Balussery,Villa,4,,46000
Panniyankara,Flat,2,6.0,14500
Mankave,Flat,1,3.0,7500
Palayam,Apartment,2,10.0,18500
Eranhipalam,Apartment,3,3.0,32000
Thiruvannur,Villa,2,,16500
Beach Road,Apartment,3,11.0,38000
Mukkam,Flat,2,3.0,11500
Mathara,Villa,1,,13000
Vellimadukunnu,Apartment,4,6.0,36000
Puthiyara,Apartment,2,2.0,20500
Bilathikulam,Flat,2,2.0,16500
Mankave,Flat,2,5.0,15000
Chevayur,Flat,3,6.0,30000
Mukkam,Flat,2,7.0,11500
Kottuli,Flat,2,7.0,13000
Puthiyara,Flat,1,5.0,10500
Calicut University,Apartment,1,9.0,11500
Eranhipalam,Apartment,2,8.0,17500
Beach Road,Flat,3,6.0,37000
Calicut University,House,3,,39000
Palayam,Flat,2,7.0,19500
Thondayad,House,3,,34500
Medical College,Flat,1,6.0,10500
Mukkam,Apartment,1,14.0,7500
Medical College,Flat,2,0.0,19000
Palayam,Flat,3,8.0,31000
Thiruvannur,Flat,1,5.0,6000
Chevayur,Apartment,3,1.0,32500
Vellimadukunnu,Flat,3,2.0,22000
Medical College,Apartment,1,0.0,11000
Vellimadukunnu,Villa,2,,22000
Chevayur,Flat,1,5.0,10500
Nadakkavu,Flat,2,8.0,17500
Nadakkavu,Apartment,2,11.0,20000
Puthiyara,Apartment,2,7.0,19500
Balussery,Flat,1,2.0,6500
Mavoor Road,Apartment,2,15.0,22500
Puthiyara,Flat,2,3.0,16500
Ulliyeri,Flat,1,3.0,5500
Chevayur,Apartment,2,1.0,19000
Beach Road,Villa,2,,31500
Thiruvannur,Apartment,2,1.0,12500
Thiruvannur,Apartment,2,0.0,11000
Puthiyara,Flat,4,1.0,40000
Chevayur,Villa,2,,29000
Bilathikulam,Apartment,2,11.0,19500
Thondayad,Apartment,2,2.0,16500
Mankave,House,2,,20000
Kottuli,Flat,3,6.0,22000
Beach Road,Villa,3,,52500
Malaparamba,Flat,3,5.0,24500
Mathara,Apartment,3,13.0,23500
Balussery,House,2,,14500
Kunnamangalam,Flat,2,0.0,10000
Chevayur,Flat,2,1.0,18500
Balussery,Villa,2,,19500
Koyilandy Road,Apartment,1,3.0,8500
Thondayad,Apartment,3,5.0,28000
Medical College,House,2,,23500
Kuthiravattom,Flat,3,4.0,23500
Vellimadukunnu,Flat,3,2.0,24000
Thondayad,Apartment,1,2.0,10000
Thondayad,Apartment,1,7.0,9500
Thondayad,Flat,3,7.0,25000
Mankave,Apartment,2,2.0,16500
Malaparamba,Apartment,1,5.0,9000
Medical College,Apartment,3,5.0,35000
Beach Road,Apartment,2,1.0,22500
Vellimadukunnu,Villa,2,,20500
Thondayad,Apartment,2,12.0,17000
Palayam,Apartment,3,6.0,34500
Nadakkavu,Flat,3,3.0,31000
Puthiyara,Apartment,1,14.0,10500
Panniyankara,Apartment,3,14.0,23500
Mavoor Road,Apartment,3,0.0,34000
Mavoor Road,Flat,3,5.0,36500
Mavoor Road,Apartment,2,11.0,23000
Chevayur,Apartment,3,8.0,33500
Puthiyara,House,3,,36000
Puthiyara,Apartment,2,6.0,20000
Chevayur,Flat,3,6.0,29500
Thiruvannur,Flat,4,0.0,26000
Feroke,Flat,1,4.0,6500
Puthiyara,Flat,3,1.0,30000
Kottuli,Flat,1,1.0,7500
Nadakkavu,Flat,1,5.0,11000
Bilathikulam,Apartment,3,8.0,28500
Malaparamba,House,3,,29500
Kuthiravattom,Villa,1,,12000
Palayam,Flat,3,4.0,30500
Mathara,Villa,3,,39000
Balussery,Apartment,2,0.0,13000
Bilathikulam,House,2,,21500
Mankave,Apartment,2,0.0,15500
Balussery,Apartment,2,14.0,13000
Mavoor Road,Apartment,2,8.0,23000
Mankave,Flat,2,4.0,15500
Kunnamangalam,Flat,2,7.0,10500
Vellimadukunnu,Apartment,1,7.0,7500
Nadakkavu,Flat,2,6.0,19500
Vellimadukunnu,Flat,3,3.0,22500
Koduvally,Apartment,3,9.0,19000
Mavoor Road,Apartment,3,2.0,35000
Vellimadukunnu,Apartment,3,10.0,23000
Puthiyara,Flat,2,8.0,18500
Malaparamba,House,2,,19500
Eranhipalam,Apartment,2,1.0,17500
Mathara,Flat,4,5.0,37500
Koyilandy Road,Apartment,1,11.0,9500
Thondayad,Flat,4,5.0,37000
Vellimadukunnu,House,3,,28000
Palayam,Apartment,3,5.0,35000
Koduvally,Flat,3,1.0,19500
Nadakkavu,Apartment,4,9.0,46500
Thondayad,Flat,2,3.0,16000
Kuthiravattom,Villa,2,,23500
Puthiyara,Flat,1,7.0,10000
Chevayur,Apartment,2,12.0,19000
Mankave,Apartment,2,10.0,17000
Kottuli,Apartment,3,3.0,22000
Medical College,Flat,4,0.0,48500
Puthiyara,Apartment,2,0.0,17500
Bilathikulam,Apartment,4,10.0,42000
Mavoor Road,Apartment,4,7.0,51000
Thiruvannur,Flat,3,4.0,19000
Koyilandy Road,Apartment,1,6.0,10000
Thiruvannur,Villa,3,,30500
Vellimadukunnu,Apartment,1,6.0,7500
Mankave,Villa,2,,23500
Medical College,Apartment,3,1.0,38000
Puthiyara,Villa,1,,15500
Bilathikulam,Apartment,1,13.0,10000
Kuthiravattom,Flat,2,7.0,13500
Bilathikulam,Villa,2,,25000
Puthiyara,Flat,1,8.0,10000
Nadakkavu,Villa,3,,45500
Palayam,Villa,2,,31000
Ulliyeri,Flat,2,0.0,10000
Nadakkavu,Apartment,3,14.0,32000
Nadakkavu,Apartment,2,15.0,19000
Mathara,Flat,2,8.0,13500
Kunnamangalam,Flat,3,6.0,17500
Kunnamangalam,Villa,1,,8500
Beach Road,Apartment,1,5.0,13500
Palayam,Flat,3,6.0,32000
Nadakkavu,Flat,1,3.0,10000
Calicut University,Flat,1,0.0,11000
Puthiyara,Flat,2,5.0,18500
Balussery,Apartment,2,15.0,13000
Eranhipalam,Apartment,2,10.0,19000
Mankave,Apartment,2,5.0,17000
Panniyankara,House,2,,18000
Balussery,Flat,1,0.0,6000
Chevayur,Apartment,1,5.0,11000
Mathara,Flat,1,1.0,8000
Mathara,Apartment,1,6.0,9500
Kuthiravattom,Apartment,3,6.0,26000
Vellimadukunnu,Apartment,4,14.0,34000
Mukkam,House,2,,14000
Kottuli,Flat,3,8.0,20000
Panniyankara,Apartment,2,8.0,15500
Vellimadukunnu,House,2,,17000
Beach Road,Apartment,3,8.0,35000
Mankave,Flat,1,4.0,8000
Kunnamangalam,Flat,2,5.0,10500
Puthiyara,Apartment,1,2.0,10000
Chevayur,Villa,3,,44500
Malaparamba,Apartment,2,0.0,14500
Thondayad,House,2,,19000
Kuthiravattom,Apartment,4,1.0,38500
Puthiyara,Villa,3,,45500
Bilathikulam,Apartment,2,2.0,19000
Kottuli,Flat,2,7.0,13000
Mankave,Apartment,1,8.0,8000
Mavoor Road,Flat,1,2.0,11000
Malaparamba,Apartment,2,1.0,17500
Vellimadukunnu,Flat,1,0.0,7000
Balussery,Apartment,3,12.0,21000
Thondayad,Villa,3,,43500
Medical College,Flat,2,5.0,21000
Puthiyara,Flat,1,1.0,10000
Chevayur,Apartment,2,5.0,20000
Mavoor Road,Apartment,1,0.0,12500
Nadakkavu,House,2,,21500
Thondayad,Flat,1,6.0,9500
Koyilandy Road,Apartment,1,3.0,9500
Nadakkavu,Apartment,2,14.0,18000
Thiruvannur,Villa,2,,18500
Nadakkavu,Apartment,2,15.0,20500
Beach Road,Villa,1,,18000
Mathara,Villa,2,,24000
Kottuli,Apartment,1,14.0,8000
Eranhipalam,Flat,2,0.0,16500
Thiruvannur,Flat,3,5.0,19000
Eranhipalam,Villa,1,,14000
Puthiyara,Apartment,2,9.0,19000
Eranhipalam,Apartment,2,13.0,19500
Kottuli,Apartment,2,2.0,14500
Nadakkavu,Flat,1,2.0,10000
Thondayad,House,2,,19500
Feroke,Apartment,1,0.0,7500
Panniyankara,Apartment,2,0.0,15000
Koyilandy Road,Flat,2,8.0,15500
Vellimadukunnu,Villa,3,,37000
Koyilandy Road,Flat,2,2.0,16000
Chevayur,Apartment,1,8.0,11000
Mukkam,Villa,1,,10500
Mankave,Flat,3,0.0,22000
Bilathikulam,Apartment,4,12.0,44500
Chevayur,Flat,1,7.0,9000
Chevayur,Apartment,2,14.0,19500
Medical College,Villa,3,,52000
Malaparamba,Flat,3,8.0,25500
Nadakkavu,Flat,3,6.0,32000
Koyilandy Road,Flat,2,6.0,16000
Eranhipalam,Villa,3,,45500
Mankave,Flat,3,5.0,25000
Kottuli,Apartment,1,13.0,8000
Thondayad,Apartment,2,2.0,18000
Thondayad,Flat,2,2.0,17000
Thondayad,Villa,2,,25000
Chevayur,Apartment,2,6.0,21000
Panniyankara,Flat,4,4.0,35500
Palayam,Apartment,2,12.0,21000
Bilathikulam,Villa,2,,28500
Eranhipalam,Apartment,3,12.0,29500
Malaparamba,Apartment,3,5.0,29500
Balussery,Apartment,4,14.0,31500
Koyilandy Road,Apartment,4,14.0,37500
Chevayur,Apartment,1,2.0,10500
Calicut University,Apartment,2,5.0,20500
Feroke,Apartment,3,14.0,22500
Medical College,Villa,2,,32500
Koyilandy Road,Flat,2,8.0,14000
Vellimadukunnu,Apartment,2,11.0,14500
Chevayur,Flat,2,5.0,19500
Kottuli,House,2,,17500
Eranhipalam,House,2,,20000
Kottuli,House,2,,15500
Thondayad,Flat,2,7.0,16000
Thondayad,Apartment,3,3.0,29500
Medical College,Villa,2,,33500
Balussery,House,2,,15500
Thondayad,House,2,,20000
Vellimadukunnu,Flat,2,7.0,12500
Koduvally,Villa,3,,30000
Bilathikulam,Flat,4,4.0,44500
Feroke,Apartment,4,9.0,33500
Kottuli,Villa,2,,19000
Bilathikulam,Villa,4,,69000
Balussery,Flat,2,6.0,11500
Puthiyara,House,1,,11500
Puthiyara,Flat,4,7.0,39000
Medical College,Apartment,3,7.0,34500
Mavoor Road,Apartment,2,12.0,21500
Mukkam,Apartment,3,15.0,20000
Kunnamangalam,Villa,1,,9500
Mathara,Flat,2,7.0,14500
Eranhipalam,Apartment,3,14.0,28500
Mathara,Flat,2,8.0,14500
Vellimadukunnu,Apartment,2,14.0,14500
Thondayad,House,3,,30000
Kottuli,Flat,2,2.0,13500
Calicut University,Apartment,2,3.0,21500
Vellimadukunnu,House,1,,9000
Kottuli,Villa,2,,20500
Feroke,Apartment,3,14.0,22500
Eranhipalam,Flat,3,5.0,30000
Bilathikulam,Flat,2,8.0,17500
Nadakkavu,Apartment,2,0.0,19500
Mathara,Flat,1,8.0,7500
Mankave,Apartment,1,12.0,9000
Thondayad,Flat,2,5.0,15500
Thondayad,Apartment,2,10.0,15500
Chevayur,Villa,1,,15500
Kottuli,Flat,3,5.0,22000
Panniyankara,Apartment,3,13.0,25500
Bilathikulam,Apartment,3,0.0,29500
Kottuli,Flat,2,4.0,12500
Beach Road,House,3,,47500
Malaparamba,Apartment,1,11.0,9500
Beach Road,House,1,,15000
Koyilandy Road,Apartment,3,0.0,24500
Mathara,House,2,,18000
Beach Road,Apartment,3,7.0,39500
Chevayur,Apartment,2,1.0,20000
Koduvally,Flat,2,7.0,11000
Panniyankara,Flat,2,5.0,13500
Nadakkavu,Flat,2,0.0,18000
Koyilandy Road,Apartment,2,7.0,15500
Malaparamba,Flat,4,7.0,39000
Kuthiravattom,Apartment,1,15.0,8500
Eranhipalam,Villa,2,,25000
Mavoor Road,Flat,2,7.0,20500
Thiruvannur,House,1,,8000
Kottuli,Apartment,2,1.0,15000
